"","SurveyNum","Time","Spp","Size","ID","lat","long"
"3253",97,"09:41","APCL","11","538",11.193163844275,124.04765468775
"3257",97,"10:06","APCL","6","540",11.193709129,124.04935621425
"3258",97,"10:09","APCL","4","541",11.193847975225,124.049334505
"3259",97,"10:18","APCL","6","543",11.194039899875,124.0492658155
"3263",98,"11:14","APCL","6","545",11.207375843075,124.06097573225
"3264",98,"11:20","APCL","8","546",11.207422320725,124.06091647225
"3265",98,"11:27","APCL","11","547",11.207772810025,124.06113676975
"3267",98,"11:32","APCL","8","549",11.2078185752,124.061096243
"3268",98,"11:35","APCL","4","550",11.20785143225,124.0611108695
"3276",98,"11:42","APCL","6","551",11.208157057425,124.06119408075
"1501",10,"16:35","PRBI","6","7 to 8",10.2288151975,124.247636902
"1521",11,"14:32","PRBI","5","11",10.228215157975,124.24922489575
"1541",11,"14:54","PRBI","6","14",10.2280793083,124.24897821625
"161",11,"15:54","PRBI","7","20",10.22822739555,124.24904835175
"1643",12,"10:38","PRBI","13","24",10.1765269367,124.17766795975
"1671",12,"10:53","APCL","11","28",10.17658139815,124.17774153175
"1691",12,"11:01","PRBI","9","31",10.176621631225,124.1777495365
"1741",12,"11:25","PRBI","14","37",10.176744384225,124.17807695425
"1751",12,"11:30","APCL","10","39",10.176733110575,124.17811846575
"1761",12,"11:33","PRBI","8","41",10.176734388825,124.178129069
"1771",12,"11:38","PRBI","9","43",10.1767432946,124.17817244525
"1781",12,"11:46","PRBI","11","45",10.17672537825,124.178215696
"1821",13,"10:44","APCL","6","50",9.414452095515,123.31258306975
"1881",13,"11:18","APCL","7","57",9.4143264507875,123.3127638675
"1901",14,"12:01","APCL","5","60",9.4141511642375,123.31371276175
"1911",14,"12:07","APCL","7","62",9.414039726835,123.31368017725
"1971",14,"12:42","APCL","5","69",9.4138226145875,123.314087705
"1981",14,"13:14","PRBI","14","72",NA,NA
"2721",15,"15:27","PRBI","5","74",9.4112389767525,123.32882495625
"3761",17,"11:31","PRBI","13","76",9.416071814485,123.308444442
"3841",17,"11:54","PRBI","6","79",9.41536972532,123.30975679675
"4971",19,"10:18","PRBI","6","87",9.8992203245875,123.6083234775
"5001",19,"10:36","APCL","10","89",9.89966793917,123.6086092585
"5011",19,"10:41","APCL","7","91",9.899682754185,123.608629459
"5041",19,"11:04","APCL","7","94",9.900374868885,123.6084624915
"5151",20,"13:52","PRBI","5","99",9.87126787193,123.6020698655
"5171",20,"14:15","APCL","9","102",9.87064691959,123.60182542825
"5221",20,"15:01","APCL","6","104",9.8696282668975,123.59802545025
"5291",21,"16:22","PRBI","13","110",9.8661844991175,123.5894043695
"5371",22,"10:08","PRBI","6","114",9.832887513,123.5691369
"5511",22,"10:44","PRBI","12","118",9.833037084,123.5685467
"5541",22,"11:08","PRBI","5","120",NA,NA
"5641",23,"12:58","PRBI","6","123",9.842880105135,123.568275331
"6361",25,"10:30","APCL","8","125",9.6349017857575,123.48470396375
"6391",25,"11:34","APCL","6","134",9.6360810357125,123.4850745485
"6421",25,"11:44","PRBI","6","138",9.6361473994325,123.48513885875
"6581",25,"10:58","APCL","7","127",9.6359816263425,123.4850874145
"6681",26,"14:26","APCL","8","145",9.6367651247425,123.485416635
"6871",26,"14:15","APCL","7","143",9.636718898545,123.48542250225
"8301",27,"17:36","PRBI","6","148",9.6480470406825,123.4900545305
"8521",28,"10:04","PRBI","6","153",9.61030618055,123.47457782825
"8791",28,"09:43","PRBI","5","151",9.60944688879,123.47434518875
"9091",29,"12:28","PRBI","8","159",9.6026397147225,123.4758351135
"9301",29,"11:39","PRBI","5","155",9.601762632375,123.47766184475
"10481",31,"11:44","APCL","8","166",10.2275549993,123.8199217105
"10501",31,"10:26","PRBI","11","161",10.227573229925,123.817236903
"10621",32,"13:54","PRBI","7","169",10.22062163565,123.7915877975
"10751",33,"15:37","APCL","8","173",10.2227961109,123.78398497125
"10771",33,"16:39","APCL","6","177",10.2224811609,123.7825489415
"10791",33,"15:44","PRBI","13","175",10.2226633206,123.78395003975
"10911",34,"11:10","PRBI","8","184",10.2279401582375,123.81707519525
"10981",35,"12:55","PRBI","7","186",10.225748594375,123.8050192735
"11001",35,"13:27","APCL","8","191",10.2250892215125,123.804789494125
"11011",35,"13:28","PRBI","5","189",10.2251153206375,123.8047686965
"11021",35,"13:51","APCL","4","195",10.225232604425,123.80460480925
"11091",36,"16:25","APCL","9","198",10.226463528825,123.796554976
"11111",37,"11:01","APCL","8","200",10.0584194879,123.63855344025
"11131",37,"11:47","APCL","8","207",10.0585915055,123.6386880535
"11171",37,"11:11","APCL","5","203",10.058378605175,123.63857567325
"11211",38,"13:28","PRBI","13","211",NA,NA
"11281",38,"13:44","PRBI","4","214",NA,NA
"11301",38,"13:57","PRBI","9","216",NA,NA
"11381",39,"15:34","APCL","9","218",10.051013741175,123.63504628425
"11471",40,"09:10","APCL","9","223",10.076023642925,123.6593171745
"11501",40,"09:36","PRBI","14","227",10.0768311764,123.659764202
"11521",40,"09:48","PRBI","6","229",10.07692865795,123.65980384875
"11701",40,"10:17","PRBI","4","232",10.077177663325,123.660270134
"11891",41,"11:33","PRBI","10","235",10.07728099125,123.662254193
"11911",41,"11:55","PRBI","10","239",10.077351965,123.662657363
"11981",42,"14:27","APCL","5","247",10.558254984225,124.040515339
"12011",42,"14:54","APCL","10","251",10.559785813075,124.0405327105
"12021",42,"13:37","APCL","5","241",10.555655735075,124.040617577
"12081",42,"14:41","APCL","9","248",10.559055539775,124.0405114625
"12181",43,"16:08","APCL","8","259",10.563236915025,124.0404562885
"12291",43,"15:49","APCL","10","255",10.56245689515,124.040417166
"12941",45,"11:06","PRBI","6","261",10.48735179475,124.0284745465
